32041 31852
0 25239 17
0 895 29
0 31146 58
0 16470 89
0 4654 108
0 24210 119
25239 13680 1
25239 30754 25
25239 31349 41
25239 30897 44
25239 21258 47
25239 25252 53
25239 24261 70
25239 2362 88
25239 12218 93
25239 16419 100
25239 24674 101
25239 13620 115
25239 4837 120
25239 21711 123
895 26134 17
895 1790 29
895 17365 89
895 5549 108
895 25105 119
31146 10575 8
31146 31159 53
31146 19527 115
31146 1613 117
31146 10744 120
16470 29811 4
16470 21985 25
16470 5472 31
16470 22638 38
16470 22580 41
16470 22128 44
16470 12489 47
16470 16483 53
16470 15492 70
16470 29099 72
16470 7650 100
16470 15905 101
16470 21124 108
16470 12942 123
4654 29893 17
4654 25309 48
4654 9308 108
4654 28864 119
24210 13212 31
24210 30378 38
24210 29868 44
24210 24223 53
24210 23232 70
24210 20682 123
24210 4841 124
24210 19161 142
13680 2121 1
13680 27021 4
13680 24409 14
13680 14575 29
13680 2682 31
13680 13706 33
13680 19848 38
13680 19790 41
13680 13368 52
13680 26309 72
13680 14459 78
13680 18334 108
13680 2061 115
13680 10152 123
30754 8918 2
30754 30780 33
30754 30767 53
30754 31033 130
30754 25705 142
31349 10778 8
31349 9130 50
31349 3424 61
31349 19730 115
31349 1816 117
31349 10947 120
30897 19968 84
21258 26718 15
21258 21510 27
21258 21284 33
21258 21271 53
21258 21224 63
21258 22032 97
21258 21537 130
21258 14715 140
25252 14254 31
25252 31362 41
25252 30910 44
25252 25265 53
25252 24274 70
25252 12231 93
25252 16432 100
25252 24687 101
25252 13633 115
25252 21724 123
24261 24287 33
24261 23949 52
24261 24227 63
24261 25040 78
24261 13332 84
24261 1384 88
24261 19212 142
2362 15703 4
2362 13091 14
2362 27601 17
2362 3257 29
2362 20954 34
2362 8020 44
2362 23017 48
2362 28839 60
2362 28470 62
2362 14991 72
2362 23482 80
2362 18832 89
2362 7016 108
2362 26572 119
12218 22947 14
12218 13113 29
12218 16872 108
16419 16445 33
16419 22529 41
16419 16107 52
16419 16385 63
16419 5490 84
16419 17193 97
16419 16698 130
16419 25622 132
16419 11370 142
16419 20087 144
24674 24640 63
13620 26961 4
13620 24349 14
13620 14515 29
13620 2622 31
13620 19278 44
13620 9639 47
13620 12642 70
13620 4800 100
13620 13055 101
13620 18274 108
13620 2001 115
13620 10092 123
4837 30076 17
4837 5732 29
4837 25492 48
4837 25957 80
4837 25485 92
4837 9491 108
4837 29047 119
21711 27821 41
21711 2342 124
21711 16662 142
26134 15136 31
26134 26147 53
26134 22606 123
1790 27029 17
1790 2685 29
1790 22445 48
1790 18260 89
1790 6444 108
1790 26000 119
17365 30706 4
17365 22880 25
17365 6367 31
17365 23475 41
17365 23023 44
17365 13384 47
17365 17378 53
17365 16387 70
17365 8545 100
17365 16800 101
17365 22019 108
17365 13837 123
5549 30788 17
5549 26197 92
5549 10203 108
5549 29759 119
5549 2021 123
25105 14107 31
25105 30763 44
25105 24127 70
25105 21577 123
31159 10588 8
31159 31172 53
31159 9673 67
31159 19540 115
31159 10757 120
19527 7968 1
19527 8529 31
19527 25637 41
19527 6506 93
19527 15999 123
1613 26852 17
1613 2508 29
1613 22733 80
1613 18083 89
1613 6267 108
1613 25823 119
10744 24085 4
10744 11639 29
10744 16912 38
10744 16854 41
10744 16402 44
10744 23373 72
10744 31392 92
10744 15398 108
10744 7216 123
29811 18252 1
29811 9240 8
29811 29837 33
29811 7592 50
29811 29824 53
29811 1886 61
29811 8325 67
29811 16790 93
29811 18192 115
29811 278 117
29811 9409 120
29811 10442 124
29811 24762 142
21985 149 2
21985 22237 27
21985 22011 33
21985 28095 41
21985 21998 53
21985 11056 84
21985 18485 90
21985 2616 124
21985 22264 130
21985 15442 140
21985 25653 144
5472 16201 14
5472 5498 33
5472 5160 52
5472 23483 57
5472 5438 63
5472 6251 78
5472 1972 90
5472 10126 108
22638 11079 1
22638 802 2
22638 28748 41
22638 419 50
22638 22651 53
22638 11709 84
22638 9617 93
22638 11019 115
22638 72 116
22638 3269 124
22580 11021 1
22580 361 50
22580 22593 53
22580 9559 93
22580 14 116
22128 292 2
22128 27588 15
22128 28238 41
22128 22094 63
22128 10509 115
22128 15585 140
12489 18599 41
12489 21692 132
12489 5946 140
12489 7440 142
16483 15505 70
16483 29112 72
16483 21137 108
16483 12955 123
15492 3933 1
15492 26221 14
15492 20952 15
15492 15518 33
15492 21602 41
15492 15180 52
15492 15458 63
15492 16271 78
15492 20146 108
15492 30979 126
15492 10443 142
29099 29125 33
29099 18170 84
29099 22556 140
29099 24050 142
7650 18379 14
7650 7902 27
7650 7676 33
7650 7338 52
7650 25661 57
7650 8424 97
7650 12304 108
7650 23308 121
7650 7929 130
7650 16853 132
15905 22015 41
15905 15871 63
15905 20559 108
15905 25108 132
15905 10856 142
21124 26639 25
21124 27234 41
21124 17143 47
21124 8103 93
21124 9505 115
21124 17596 123
12942 23671 14
29893 9322 8
29893 29906 53
29893 21073 100
29893 360 117
25309 3473 2
25309 14311 31
25309 24997 52
25309 26088 78
25309 14380 84
25309 21781 123
9308 29963 48
9308 25778 89
9308 29956 92
9308 13962 108
28864 17866 31
28864 27886 70
28864 20044 100
28864 25336 123
13212 13464 27
13212 13238 33
13212 31223 57
13212 13986 97
13212 28870 121
13212 28699 126
13212 13491 130
13212 22415 132
13212 16880 144
30378 30404 33
30378 30066 52
24223 3652 8
24223 30333 41
24223 2004 50
24223 24236 53
24223 25002 78
24223 13294 84
24223 1346 88
24223 12604 115
24223 1657 116
24223 3821 120
24223 20695 123
24223 4854 124
24223 19174 142
23232 2661 8
23232 28692 15
23232 23484 27
23232 29342 41
23232 23198 63
23232 12303 84
23232 19732 90
23232 24006 97
23232 666 116
23232 23511 130
23232 16689 140
20682 9123 1
20682 26792 41
20682 20370 52
20682 21461 78
20682 7661 93
20682 9063 115
20682 1313 124
20682 15633 142
4841 30080 17
4841 5736 29
4841 25496 48
4841 25961 80
4841 21311 89
4841 9495 108
4841 29051 119
19161 7602 1
19161 24676 25
19161 25271 41
